Index,Quantity,Part Number,Description,Customer Reference,Available Quantity,Backorder Quantity,Unit Price USD,Extended Price USD,
1,1,ATTINY24A-SSURCT-ND,IC MCU 8BIT 2KB FLASH 14SOIC,,1,0,0.76000,0.76,
2,9,BSS84PH6327XTSA2CT-ND,MOSFET P-CH 60V 170MA SOT-23,,9,0,0.28000,2.52,
3,9,1727-1865-1-ND,MOSFET N-CH 60V 0.36A SOT-23,,9,0,0.16000,1.44,
4,1,952-1921-ND,2X3POS DIL VERTICAL PIN HEADER,,1,0,0.33000,0.33,
5,9,1N4448WTPMSCT-ND,DIODE GEN PURP 75V 250MA SOD123,,9,0,0.14000,1.26,
6,1,296-1364-1-ND,IC REG LINEAR 5V 100MA 8SOIC,,1,0,0.51000,0.51,
7,9,P160ADCT-ND,RES SMD 160 OHM 5% 1/2W 0805,,9,0,0.12000,1.08,
8,2,P10KACT-ND,RES SMD 10K OHM 5% 1/8W 0805,,2,0,0.10000,0.20,
9,1,P1.0KACT-ND,RES SMD 1K OHM 5% 1/8W 0805,,1,0,0.10000,0.10,
10,2,1276-6471-1-ND,CAP CER 1UF 16V X7R 0805,,2,0,0.10000,0.20,
11,1,1276-2448-1-ND,CAP CER 0.1UF 16V X7R 0805,,1,0,0.10000,0.10,
