"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Customer Reference","Reference Designator","Packaging","Part Status","Quantity","Unit Price","Extended Price","Quantity Available","Mfg Std Lead Time","Description","RoHS Status","Lead Free Status","REACH Status"
"SLR-342VR3F","Rohm Semiconductor","511-1250-ND","","","Bulk","Active","1","0.55000","$0.55","44855","10 Weeks","LED RED DIFF 3MM ROUND T/H","RoHS Compliant","Lead free","REACH Unaffected"
"EG2301A","E-Switch","EG1944-ND","","","Bulk","Active","1","0.80000","$0.80","4235","11 Weeks","SWITCH SLIDE DP3T 200MA 30V","RoHS Compliant","Lead free","REACH Unaffected"
"5555154-1","TE Connectivity AMP Connectors","A31440-ND","","","Tray","Active","1","1.69000","$1.69","1817","17 Weeks","CONN MOD JACK 6P6C R/A SHIELDED","RoHS Compliant","Lead free","Not Available"
"5555153-1","TE Connectivity AMP Connectors","A31438-ND","","","Tray","Active","1","1.42000","$1.42","10974","17 Weeks","CONN MOD JACK 8P8C R/A SHIELDED","RoHS Compliant","Lead free","Not Available"
"LEDM-2-10","Essentra Components","RPC4263-ND","","","Bulk","Active","1","0.44000","$0.44","5000","7 Weeks","LED SPACER 3MM T-1 BLACK 10MM","RoHS Compliant","Lead free","REACH Unaffected"
"M20-9720345","Harwin Inc.","952-1921-ND","","","Bulk","Active","1","0.33000","$0.33","1730","10 Weeks","2X3POS DIL VERTICAL PIN HEADER","RoHS Compliant","Lead free","REACH Unaffected"
"UA78L05ACDR","Texas Instruments","296-1364-1-ND","","","Cut Tape (CT)","Active","1","0.50000","$0.50","19285","6 Weeks","IC REG LINEAR 5V 100MA 8SOIC","RoHS Compliant","Lead free","REACH Unaffected"
"SSL-LX2573SRD","Lumex Opto/Components Inc.","67-1049-ND","","","Bulk","Active","9","0.46000","$4.14","5202","12 Weeks","LED RED DIFF 5X2MM RECT T/H","RoHS Compliant","Lead free","REACH Unaffected"
"ATTINY24A-SSUR","Microchip Technology","ATTINY24A-SSURCT-ND","","","Cut Tape (CT)","Active","1","0.76000","$0.76","21974","4 Weeks","IC MCU 8BIT 2KB FLASH 14SOIC","RoHS Compliant","Lead free","REACH Unaffected"
"BSS84PH6433XTMA1","Infineon Technologies","BSS84PH6433XTMA1CT-ND","","","Cut Tape (CT)","Active","9","0.28000","$2.52","31583","Not Available","MOSFET P-CH 60V 170MA SOT-23","RoHS Compliant","Lead free","REACH Unaffected"
"2N7002P,235","Nexperia USA Inc.","1727-1865-1-ND","","","Cut Tape (CT)","Active","9","0.16000","$1.44","92060","26 Weeks","MOSFET N-CH 60V 0.36A SOT-23","RoHS Compliant","Lead free","REACH Unaffected"
"1N4448W-TP","Micro Commercial Co","1N4448WTPMSCT-ND","","","Cut Tape (CT)","Active","9","0.14000","$1.26","448109","8 Weeks","DIODE GEN PURP 75V 250MA SOD123","RoHS Compliant","Lead free","REACH Unaffected"
"CC0805KRX7R8BB104","Yageo","311-1141-1-ND","","","Cut Tape (CT)","Active","1","0.10000","$0.10","0","37 Weeks","CAP CER 0.1UF 25V X7R 0805","RoHS Compliant","Lead free","REACH Unaffected"
"CC0805KKX7R8BB105","Yageo","311-1456-1-ND","","","Cut Tape (CT)","Active","2","0.12000","$0.24","492833","19 Weeks","CAP CER 1UF 25V X7R 0805","RoHS Compliant","Lead free","REACH Unaffected"
"RC0805JR-0710KL","Yageo","311-10KARCT-ND","","","Cut Tape (CT)","Active","2","0.10000","$0.20","4354256","23 Weeks","RES SMD 10K OHM 5% 1/8W 0805","RoHS Compliant","Lead free","REACH Unaffected"
"RC0805JR-071KL","Yageo","311-1.0KARCT-ND","","","Cut Tape (CT)","Active","1","0.10000","$0.10","3591832","23 Weeks","RES SMD 1K OHM 5% 1/8W 0805","RoHS Compliant","Lead free","REACH Unaffected"
"RC0805JR-07200RL","Yageo","311-200ARCT-ND","","","Cut Tape (CT)","Active","9","0.10000","$0.90","459061","23 Weeks","RES SMD 200 OHM 5% 1/8W 0805","RoHS Compliant","Lead free","REACH Unaffected"
